CTP: Default plant for salesorg, distr.channel, division


MANDT	 VKORG	 VTWEG	 SPART	 WERKS
X	 X	 X	 X	
Client	 Sales Organization	 Distribution Channel	 Division	 Plant
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 WERKS-CHAR(4)
100	 RP01	 01	 01	 RP07
100	 RU01	 01	 01	 RU01
100	 RU02	 01	 01	 RU56
100	 RU03	 01	 01	 RU15
100	 RU04	 01	 41	 RU70
