Table for profit centre derivation rules


MANDT	 BUKRS	 HKONT	 PRCTR
X	 X	 X	
Client	 Company Code	 General Ledger Account	 Profit Center
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 SAKNR-CHAR(10)	 PRCTR-CHAR(10)
100	 CJAL	 0001936007	 0000002910
100	 CJAL	 0001936107	 0000002910
100	 CJAL	 0001936307	 0000002910
100	 CJAL	 0001936507	 0000002910
100	 CJAL	 0001946007	 0000002910
100	 CJAL	 0001946107	 0000002910
100	 CJAL	 0001946307	 0000002910
100	 CJAL	 0001946507	 0000002910
100	 CJAL	 0001950007	 0000002910
100	 CJAL	 0001950107	 0000002910
100	 CJAL	 0001950307	 0000002910
100	 CJAL	 0001950507	 0000002910
100	 CJAL	 0001952007	 0000002910
100	 CJAL	 0001952107	 0000002910
100	 CJAL	 0001952307	 0000002910
100	 CJAL	 0001999901	 0000005310
100	 CJAL	 0001999902	 0000002910
100	 CJAL	 0001999904	 0000005310
100	 CODA	 0001910007	 0000001910
100	 CODA	 0001910036	 0000001910
100	 CODA	 0001910999	 0000001910
100	 CODA	 0001936007	 0000001910
100	 CODA	 0001936036	 0000001410
100	 CODA	 0001936107	 0000001910
100	 CODA	 0001936136	 0000001410
100	 CODA	 0001936307	 0000001910
100	 CODA	 0001936336	 0000001410
100	 CODA	 0001936507	 0000001910
100	 CODA	 0001946036	 0000001410
100	 CODA	 0001946136	 0000001410
100	 CODA	 0001946336	 0000001410
100	 CODA	 0001946536	 0000001410
100	 CODA	 0001950007	 0000001910
100	 CODA	 0001950036	 0000001910
100	 CODA	 0001950107	 0000001910
100	 CODA	 0001950136	 0000001910
100	 CODA	 0001950307	 0000001910
100	 CODA	 0001950336	 0000001910
100	 CODA	 0001950507	 0000001910
100	 CODA	 0001950536	 0000001910
100	 CODA	 0001951007	 0000001910
100	 CODA	 0001951107	 0000001910
100	 CODA	 0001951307	 0000001910
100	 CODA	 0001951507	 0000001910
100	 CODA	 0001955007	 0000001910
100	 CODA	 0001955107	 0000001910
100	 CODA	 0001955307	 0000001910
100	 CODA	 0001955507	 0000001910
100	 CODA	 0001959007	 0000005310
100	 CODA	 0001959107	 0000005310
100	 CODA	 0001959307	 0000005310
100	 CODA	 0001999002	 0000001910
100	 CODA	 0001999901	 0000001910
100	 CONA	 0001910007	 0000005310
100	 CONA	 0001910036	 0000005310
100	 CONA	 0001910999	 0000005310
100	 CONA	 0001930007	 0000005310
100	 CONA	 0001930014	 0000005310
100	 CONA	 0001930031	 0000005310
100	 CONA	 0001930107	 0000005310
100	 CONA	 0001930114	 0000005310
100	 CONA	 0001930131	 0000005310
100	 CONA	 0001930307	 0000005310
100	 CONA	 0001930314	 0000005310
100	 CONA	 0001930331	 0000005310
100	 CONA	 0001931009	 0000005310
100	 CONA	 0001931029	 0000005310
100	 CONA	 0001931031	 0000005310
100	 CONA	 0001931032	 0000005310
100	 CONA	 0001932007	 0000005310
100	 CONA	 0001932011	 0000005310
100	 CONA	 0001932012	 0000005310
100	 CONA	 0001932107	 0000005310
100	 CONA	 0001932307	 0000005310
100	 CONA	 0001933007	 0000005310
100	 CONA	 0001933107	 0000005310
100	 CONA	 0001933307	 0000005310
100	 CONA	 0001935007	 0000005310
100	 CONA	 0001935107	 0000005310
100	 CONA	 0001935307	 0000005310
100	 CONA	 0001935507	 0000005310
100	 CONA	 0001936007	 0000005310
100	 CONA	 0001936012	 0000005310
100	 CONA	 0001936014	 0000005310
100	 CONA	 0001936036	 0000005310
100	 CONA	 0001936107	 0000005310
100	 CONA	 0001936112	 0000005310
100	 CONA	 0001936114	 0000005310
100	 CONA	 0001936136	 0000005310
100	 CONA	 0001936307	 0000005310
100	 CONA	 0001936312	 0000005310
100	 CONA	 0001936314	 0000005310
100	 CONA	 0001936336	 0000005310
100	 CONA	 0001936507	 0000005310
100	 CONA	 0001936514	 0000005310
100	 CONA	 0001936536	 0000005310
100	 CONA	 0001946007	 0000005310
100	 CONA	 0001946012	 0000005310
100	 CONA	 0001946036	 0000005310
100	 CONA	 0001946107	 0000005310
100	 CONA	 0001946112	 0000005310
100	 CONA	 0001946136	 0000005310
100	 CONA	 0001946307	 0000005310
100	 CONA	 0001946312	 0000005310
100	 CONA	 0001946336	 0000005310
100	 CONA	 0001946507	 0000005310
100	 CONA	 0001946512	 0000005310
100	 CONA	 0001946536	 0000005310
100	 CONA	 0001947007	 0000005310
100	 CONA	 0001947107	 0000005310
100	 CONA	 0001947307	 0000005310
100	 CONA	 0001947507	 0000005310
100	 CONA	 0001948007	 0000005310
100	 CONA	 0001948014	 0000005310
100	 CONA	 0001948107	 0000005310
100	 CONA	 0001948114	 0000005310
100	 CONA	 0001948307	 0000005310
100	 CONA	 0001948314	 0000005310
100	 CONA	 0001948507	 0000005310
100	 CONA	 0001948514	 0000005310
100	 CONA	 0001949036	 0000005310
100	 CONA	 0001949136	 0000005310
100	 CONA	 0001949336	 0000005310
100	 CONA	 0001949536	 0000005310
100	 CONA	 0001950007	 0000005310
100	 CONA	 0001950014	 0000005310
100	 CONA	 0001950036	 0000005310
100	 CONA	 0001950107	 0000005310
100	 CONA	 0001950114	 0000005310
100	 CONA	 0001950136	 0000005310
100	 CONA	 0001950307	 0000005310
100	 CONA	 0001950314	 0000005310
100	 CONA	 0001950336	 0000005310
100	 CONA	 0001950507	 0000005310
100	 CONA	 0001950514	 0000005310
100	 CONA	 0001950536	 0000005310
100	 CONA	 0001951036	 0000005310
100	 CONA	 0001951136	 0000005310
100	 CONA	 0001951336	 0000005310
100	 CONA	 0001951536	 0000005310
100	 CONA	 0001952007	 0000005310
100	 CONA	 0001952107	 0000005310
100	 CONA	 0001952307	 0000005310
100	 CONA	 0001952507	 0000005310
100	 CONA	 0001953007	 0000005310
100	 CONA	 0001953107	 0000005310
100	 CONA	 0001953307	 0000005310
100	 CONA	 0001953507	 0000005310
100	 CONA	 0001954007	 0000005310
100	 CONA	 0001954107	 0000005310
100	 CONA	 0001954307	 0000005310
100	 CONA	 0001954507	 0000005310
100	 CONA	 0001955007	 0000005310
100	 CONA	 0001955107	 0000005310
100	 CONA	 0001955307	 0000005310
100	 CONA	 0001955507	 0000005310
100	 CONA	 0001956007	 0000005310
100	 CONA	 0001956107	 0000005310
100	 CONA	 0001956307	 0000005310
100	 CONA	 0001956507	 0000005310
100	 CONA	 0001957007	 0000005310
100	 CONA	 0001957107	 0000005310
100	 CONA	 0001957307	 0000005310
100	 CONA	 0001957507	 0000005310
100	 CONA	 0001958007	 0000005310
100	 CONA	 0001958107	 0000005310
100	 CONA	 0001958307	 0000005310
100	 CONA	 0001958507	 0000005310
100	 CONA	 0001959007	 0000005310
100	 CONA	 0001959107	 0000005310
100	 CONA	 0001959307	 0000005310
100	 CONA	 0001999002	 0000005310
100	 CONA	 0001999004	 0000005310
100	 CONA	 0001999901	 0000005310
100	 CQCA	 0001930006	 0000001610
100	 CQCA	 0001930106	 0000001610
100	 CQCA	 0001930107	 0000001610
100	 CQCA	 0001930306	 0000001610
100	 CQCA	 0001930307	 0000001610
100	 CQCA	 0001999002	 0000001610
100	 CQCA	 0001999004	 0000001610
100	 CQZA	 0001959007	 0000005310
100	 HKGA	 0001910007	 0000005210
100	 HKGA	 0001910014	 0000005210
100	 HKGA	 0001910999	 0000005210
100	 HKGA	 0001930014	 0000005110
100	 HKGA	 0001930114	 0000005110
100	 HKGA	 0001930314	 0000005110
100	 HKGA	 0001933002	 0000005110
100	 HKGA	 0001933004	 0000005110
100	 HKGA	 0001933005	 0000005110
100	 HKGA	 0001933012	 0000001910
100	 HKGA	 0001933013	 0000005110
100	 HKGA	 0001933014	 0000001910
100	 HKGA	 0001933016	 0000005110
100	 HKGA	 0001933020	 0000005310
100	 HKGA	 0001933026	 0000005310
100	 HKGA	 0001933031	 0000005110
100	 HKGA	 0001933032	 0000005310
100	 HKGA	 0001933033	 0000005310
100	 HKGA	 0001933036	 0000001910
100	 HKGA	 0001933102	 0000005110
100	 HKGA	 0001933104	 0000005110
100	 HKGA	 0001933105	 0000005110
100	 HKGA	 0001933112	 0000001910
100	 HKGA	 0001933113	 0000005110
100	 HKGA	 0001933114	 0000001910
100	 HKGA	 0001933116	 0000005110
100	 HKGA	 0001933120	 0000005110
100	 HKGA	 0001933126	 0000005110
100	 HKGA	 0001933131	 0000005110
100	 HKGA	 0001933132	 0000005110
100	 HKGA	 0001933133	 0000005110
100	 HKGA	 0001933136	 0000001910
100	 HKGA	 0001933302	 0000005110
100	 HKGA	 0001933304	 0000005110
100	 HKGA	 0001933305	 0000005110
100	 HKGA	 0001933312	 0000001910
100	 HKGA	 0001933313	 0000005110
100	 HKGA	 0001933314	 0000001910
100	 HKGA	 0001933316	 0000005110
100	 HKGA	 0001933320	 0000005110
100	 HKGA	 0001933326	 0000005110
100	 HKGA	 0001933331	 0000005110
100	 HKGA	 0001933332	 0000005110
100	 HKGA	 0001933333	 0000005110
100	 HKGA	 0001933336	 0000001910
100	 HKGA	 0001933502	 0000005110
100	 HKGA	 0001933504	 0000005110
100	 HKGA	 0001933505	 0000005110
100	 HKGA	 0001933512	 0000001910
100	 HKGA	 0001933513	 0000005110
100	 HKGA	 0001933514	 0000001910
100	 HKGA	 0001933516	 0000005110
100	 HKGA	 0001933520	 0000005110
100	 HKGA	 0001933526	 0000005110
100	 HKGA	 0001933531	 0000005110
100	 HKGA	 0001933532	 0000005110
100	 HKGA	 0001933533	 0000005110
100	 HKGA	 0001933536	 0000001910
100	 HKGA	 0001934036	 0000001310
100	 HKGA	 0001934136	 0000001310
100	 HKGA	 0001934336	 0000001310
100	 HKGA	 0001934536	 0000001310
100	 HKGA	 0001934736	 0000001310
100	 HKGA	 0001935007	 0000001910
100	 HKGA	 0001935012	 0000001910
100	 HKGA	 0001935013	 0000001910
100	 HKGA	 0001935014	 0000005310
100	 HKGA	 0001935036	 0000001910
100	 HKGA	 0001935107	 0000001910
100	 HKGA	 0001935112	 0000001910
100	 HKGA	 0001935113	 0000001110
100	 HKGA	 0001935114	 0000001910
100	 HKGA	 0001935136	 0000001910
100	 HKGA	 0001935307	 0000001910
100	 HKGA	 0001935312	 0000001910
100	 HKGA	 0001935313	 0000001910
100	 HKGA	 0001935314	 0000001910
100	 HKGA	 0001935336	 0000001910
100	 HKGA	 0001935507	 0000001910
100	 HKGA	 0001935512	 0000001910
100	 HKGA	 0001935513	 0000001910
100	 HKGA	 0001935514	 0000001910
100	 HKGA	 0001935536	 0000001910
100	 HKGA	 0001936002	 0000005110
100	 HKGA	 0001936007	 0000001910
100	 HKGA	 0001936012	 0000005310
100	 HKGA	 0001936013	 0000001910
100	 HKGA	 0001936014	 0000005310
100	 HKGA	 0001936020	 0000005310
100	 HKGA	 0001936026	 0000005310
100	 HKGA	 0001936031	 0000005110
100	 HKGA	 0001936032	 0000005110
100	 HKGA	 0001936033	 0000005110
100	 HKGA	 0001936036	 0000005310
100	 HKGA	 0001936102	 0000005110
100	 HKGA	 0001936107	 0000001910
100	 HKGA	 0001936112	 0000005110
100	 HKGA	 0001936113	 0000001910
100	 HKGA	 0001936114	 0000005110
100	 HKGA	 0001936120	 0000005110
100	 HKGA	 0001936126	 0000005110
100	 HKGA	 0001936131	 0000005110
100	 HKGA	 0001936132	 0000005110
100	 HKGA	 0001936133	 0000005110
100	 HKGA	 0001936136	 0000005110
100	 HKGA	 0001936302	 0000005110
100	 HKGA	 0001936307	 0000001910
100	 HKGA	 0001936312	 0000005110
100	 HKGA	 0001936314	 0000005110
100	 HKGA	 0001936320	 0000005110
100	 HKGA	 0001936326	 0000005110
100	 HKGA	 0001936331	 0000005110
100	 HKGA	 0001936332	 0000005110
100	 HKGA	 0001936333	 0000005110
100	 HKGA	 0001936336	 0000005110
100	 HKGA	 0001936502	 0000005110
100	 HKGA	 0001936507	 0000001910
100	 HKGA	 0001936512	 0000005110
100	 HKGA	 0001936514	 0000005110
100	 HKGA	 0001936520	 0000005110
100	 HKGA	 0001936526	 0000005110
100	 HKGA	 0001936531	 0000005110
100	 HKGA	 0001936532	 0000005110
100	 HKGA	 0001936533	 0000005110
100	 HKGA	 0001936536	 0000005110
100	 HKGA	 0001937012	 0000002910
100	 HKGA	 0001937014	 0000002910
100	 HKGA	 0001937036	 0000002910
100	 HKGA	 0001937112	 0000002910
100	 HKGA	 0001937114	 0000002910
100	 HKGA	 0001937136	 0000002910
100	 HKGA	 0001938012	 0000001910
100	 HKGA	 0001938014	 0000001910
100	 HKGA	 0001938036	 0000001910
100	 HKGA	 0001938112	 0000001910
100	 HKGA	 0001938114	 0000001910
100	 HKGA	 0001938136	 0000001910
100	 HKGA	 0001939012	 0000003910
100	 HKGA	 0001939014	 APW
100	 HKGA	 0001939036	 APW
100	 HKGA	 0001939112	 0000003910
100	 HKGA	 0001939114	 APW
100	 HKGA	 0001939136	 APW
100	 HKGA	 0001940012	 0000003910
100	 HKGA	 0001940014	 0000003910
100	 HKGA	 0001940036	 0000003910
100	 HKGA	 0001940112	 0000003910
100	 HKGA	 0001940114	 0000003910
100	 HKGA	 0001940136	 0000003910
100	 HKGA	 0001941014	 0000005310
100	 HKGA	 0001941036	 0000003910
100	 HKGA	 0001941114	 0000005310
100	 HKGA	 0001941136	 0000003910
100	 HKGA	 0001942014	 0000003910
100	 HKGA	 0001942114	 0000003910
100	 HKGA	 0001946014	 0000005110
100	 HKGA	 0001946036	 0000005110
100	 HKGA	 0001946114	 0000005110
100	 HKGA	 0001946136	 0000005110
100	 HKGA	 0001946314	 0000005110
100	 HKGA	 0001946336	 0000005110
100	 HKGA	 0001946514	 0000005110
100	 HKGA	 0001946536	 0000005110
100	 HKGA	 0001947012	 0000005210
100	 HKGA	 0001947014	 0000005110
100	 HKGA	 0001947036	 0000003910
100	 HKGA	 0001947112	 0000005110
100	 HKGA	 0001947114	 0000005110
100	 HKGA	 0001947136	 0000003910
100	 HKGA	 0001947312	 0000005110
100	 HKGA	 0001947314	 0000005110
100	 HKGA	 0001947336	 0000003910
100	 HKGA	 0001947512	 0000005110
100	 HKGA	 0001947514	 0000005110
100	 HKGA	 0001947536	 0000003910
100	 HKGA	 0001948012	 0000003910
100	 HKGA	 0001948014	 0000003910
100	 HKGA	 0001948036	 0000003910
100	 HKGA	 0001948112	 0000003910
100	 HKGA	 0001948114	 0000003910
100	 HKGA	 0001948136	 0000003910
100	 HKGA	 0001948312	 0000003910
100	 HKGA	 0001948314	 0000003910
100	 HKGA	 0001948336	 0000003910
100	 HKGA	 0001948512	 0000003910
100	 HKGA	 0001948514	 0000003910
100	 HKGA	 0001948536	 0000003910
100	 HKGA	 0001949012	 0000003910
100	 HKGA	 0001949014	 0000002910
100	 HKGA	 0001949036	 0000002910
100	 HKGA	 0001949112	 0000003910
100	 HKGA	 0001949114	 0000002910
100	 HKGA	 0001949136	 0000002910
100	 HKGA	 0001949312	 0000003910
100	 HKGA	 0001949314	 0000002910
100	 HKGA	 0001949336	 0000002910
100	 HKGA	 0001949512	 0000003910
100	 HKGA	 0001949514	 0000002910
100	 HKGA	 0001949536	 0000002910
100	 HKGA	 0001950007	 0000005310
