SEED: Contract cost VKORG check table


MANDT	 VKORG
X	 X
Client	 Sales Organization
MANDT-CLNT(3)	 VKORG-CHAR(4)
100	 CD01
100	 CN01
100	 CN02
100	 CN03
100	 CN04
100	 CN05
100	 CN07
100	 HK01
100	 HK02
100	 HK05
100	 HK08
100	 PL01
100	 PL02
100	 RP01
100	 RU01
100	 RU02
100	 RU03
100	 RU04
100	 XR01
