Message pop-up trigger table


MANDT	 BNAME	 YSELOGDT	 YSENOPOP
X	 X	 	
Client	 User Name in User Master Record	 Last Logon Date	 No Popup
MANDT-CLNT(3)	 XUBNAME-CHAR(12)	 ZLOGDT-DATS(8)	 ZNOPOP-CHAR(1)
100	 EXTRRY	 20150414	
100	 EXTRSN	 20130719	
100	 EXTSBA	 20171027	
100	 EXTSCO	 20110728	
100	 EXTSDA	 20160322	
100	 EXTSJHA	 20130509	
100	 EXTSMK	 20150730	
100	 EXTSNI	 20171120	
100	 EXTSPA	 20140730	
100	 EXTSPI	 20160613	
100	 EXTSPT	 20120328	
100	 EXTSR	 20171108	
100	 EXTSRM	 20171117	
100	 EXTSVI	 20160415	
100	 EXTSVK	 20170105	
100	 EXTUMK	 20170801	
100	 EXTURK	 20121220	
100	 EXTUVE	 20101011	
100	 EXTVAG	 20110511	
100	 EXTVGA	 20140707	
100	 EXTVKI	 20130612	
100	 EXTVPA	 20171120	
100	 EXTVPH	 20150709	
100	 EXTWMN	 20150617	
100	 GOLIVECHECK	 20110110	
100	 GOLIVECHECK3	 20101109	
100	 HKCJYU	 20120620	
100	 IBMSAP	 20120415	
100	 NLAFFO	 20121015	
100	 POLJJI	 20110329	
100	 RUVLIM	 20171120	
100	 RUVNKU	 20171023	
100	 RUVRVL	 20171120	
100	 RUVSAD	 20170925	
100	 SAP_591094	 20160118	
100	 SMD_ADM	 20110131	
100	 SSACRN	 20110630	
100	 SSARSG	 20171115	
100	 SSCADO	 20111205	
100	 SSCAJZ	 20120430	
100	 SSCBC	 20140520	
100	 SSCCP	 20171024	
100	 SSCEXTCA	 20150819	
100	 SSCEXTCWU	 20171121	
100	 SSCEXTCYN	 20120605	
100	 SSCEXTDP	 20130926	
100	 SSCEXTJHZ	 20171120	
100	 SSCEXTJYN	 20171110	
100	 SSCEXTLWG	 20160901	
100	 SSCEXTLYG	 20170630	
100	 SSCEXTPVDA	 20160617	
100	 SSCEXTSLN	 20140814	
100	 SSCEXTSYG	 20171109	
100	 SSCEXTWFZ	 20141128	
100	 SSCFGS	 20100713	
100	 SSCIAS	 20110623	
100	 SSCJHF	 20170508	
100	 SSCJLN	 20101110	
100	 SSCJQI	 20101014	
100	 SSCJWU	 20150929	
100	 SSCKSN	 20110624	
100	 SSCMBK	 20160321	
100	 SSCNNA	 20120725	
100	 SSCOS	 20170105	
100	 SSCPDT	 20110131	
100	 SSCPVH	 20171115	
100	 SSCPVH2	 20110308	
100	 SSCSBU	 20171118	
100	 SSCSDS	 20120430	
100	 SSCSNE	 20131010	
100	 SSCTBD	 20161130	
100	 SSCTDI	 20170717	
100	 SSCTF	 20171120	
100	 SSCTFM	 20150819	
100	 SSCTHG	 20171120	
100	 SSCTKH	 20171003	
100	 SSCWBN	 20170626	
100	 SSCYHG	 20171017	
100	 SSIVOZA	 20171004	
100	 SSIYH	 20170510	
100	 SSOACA	 20160516	
100	 SSOJPC	 20160111	
100	 SSOXPL	 20151014	
100	 SSOYHG	 20150520	
100	 SSPJAPR	 20171116	
100	 SSPJW	 20171116	
100	 SSPXL	 20171120	
100	 TMGPRE	 20120411	
100	 TOOLJN	 20120425	
100	 TOOUD	 20110907	
