Mapping of  material profit center


MANDT	 PRCTR_OLD	 PRCTR_NEW
X	 X	 X
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 PRCTR-CHAR(10)
100	 50V1	 HC27
100	 50V2	 HC27
100	 50V3	 HC20
100	 50W	 GO10
100	 50X	 UUCP
100	 50Y1	 TC27
100	 50Y2	 TC27
100	 50Y3	 TC20
100	 50Z	 UUCS
100	 51L	 O51L
100	 51M	 M51A
100	 51T	 M51K
100	 51V	 O51V
100	 51W	 O51W
100	 51X	 O51X
100	 51Y	 M51D
100	 52O	 C011
100	 52U	 BR11
100	 52Z	 HN11
100	 53A	 TP00
100	 53B	 HC00
100	 53C	 UUCE
100	 53D	 RT00
100	 543F	 BR23
100	 543P	 BR30
100	 544F	 C023
100	 544P	 C030
100	 547S	 HN20
100	 55M	 M552
100	 56G	 GO00
100	 56M	 EC00
100	 57P	 O577
100	 57Y	 O57Y
100	 58F	 O58E
100	 58I	 O58I
100	 58K	 O58K
100	 58M	 O58N
100	 58R	 M46D
100	 58V	 O58V
100	 58Z	 M46K
100	 59M	 M596
100	 5ER	 ESYA
100	 71C	 0000000130
100	 73G	 85T3
100	 74B	 85T2
100	 76K	 LPRA
100	 800H	 85T4
100	 802S	 85TI
100	 803S	 85TL
100	 80M	 85TM
100	 80U	 85TN
100	 817G	 816M
100	 81B	 81BP
100	 81M	 8PXA
100	 81P	 81PR
100	 81X	 8PXA
100	 826G	 826M
100	 827G	 816M
100	 82B	 82BP
100	 82M	 8FXA
100	 82P	 82PR
100	 843S	 816S
100	 846G	 846M
100	 847G	 857M
100	 84A	 PCAF
100	 856G	 816M
100	 857G	 816M
100	 85B	 85BP
100	 85M	 8SXA
100	 85P	 85PR
100	 866G	 817M
100	 86K	 86UM
100	 86R	 85T6
100	 879V	 77LV
100	 87E	 87A
100	 87G	 87A
100	 87H	 87A
100	 87I	 87A
100	 87J	 87A
100	 87TR	 88TQ
100	 88A	 88AB
100	 88P	 88Q
100	 88QR	 85T6
100	 88R	 88Q
100	 88W	 88Q
100	 88X	 88TQ
100	 88Z	 88ZP
100	 88ZR	 85T6
100	 89B	 89BA
100	 89P	 89RO
100	 8CUC	 89BA
100	 8CUR	 8CRR
100	 8EIA	 FOIA
100	 8ESA	 FOZA
100	 8EUC	 0000000275
100	 8EUR	 8ERR
100	 8EVA	 FOVA
100	 8EZA	 FOZA
100	 8FDA	 FSQA
100	 8FHA	 FSZA
100	 8FIA	 FSIA
100	 8FIM	 FSIM
100	 8FLA	 FSLA
100	 8FPA	 FSPA
100	 8FPM	 FSPM
100	 8FQA	 FSQA
100	 8FQM	 FSQM
100	 8FSA	 FSZA
100	 8FSM	 FSZM
100	 8FTA	 FSZA
100	 8FVA	 FSVA
100	 8FZA	 FSZA
100	 8MNA	 SCAA
100	 8MOA	 SCAA
100	 8NNQ	 AOAC
100	 8NOQ	 AOAC
100	 8PNA	 SPSA
100	 8ROA	 SRGA
100	 8SCG	 C020
100	 8SCI	 BR20
100	 8SDA	 IIQA
100	 8SHA	 IIZA
100	 8SHM	 IIZA
100	 8SIA	 IIIA
100	 8SIM	 IIIM
100	 8SLA	 IILA
100	 8SPA	 IIPA
100	 8SPM	 IIPM
100	 8SQA	 IIQA
100	 8SQM	 IIQM
100	 8SQQ	 IIQM
100	 8SSA	 IIZA
100	 8SSM	 IIZM
100	 8STA	 IIZA
100	 8SVA	 IIVA
100	 8SZA	 IIZA
100	 8YOA	 EUAA
100	 MRT1	 TTMA
100	 MRT2	 TEMA
100	 MRT3	 TSMA
100	 P46N	 P46K
100	 V10E	 VAVI
100	 V11E	 VAVI
100	 V12E	 VAVI
100	 V13E	 VAVI
100	 V14E	 VAVI
100	 V15E	 VAVI
100	 V16E	 VAVI
100	 V17E	 VAVI
100	 V30E	 VAVG
100	 V31E	 VAVG
100	 V32E	 VAVG
100	 V33E	 VAVG
100	 V34E	 VAVG
100	 V35E	 VAVG
100	 V36E	 VAVG
100	 V37E	 VAVG
100	 V38E	 VAVG
100	 V50E	 V6EP
100	 V6A	 V6AP
100	 V6E	 V6EP
100	 V80E	 VSVG
100	 V81E	 VSVI
100	 V82E	 VS16
100	 VSH	 VSVG
100	 VSI	 VSVI
