SEED: X4 remove operation 10 check table


MANDT	 BUKRS	 QMART	 ACTIVE
X	 X	 X	
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 QMART-CHAR(2)	 BOOLEAN-CHAR(1)
100	 CODA	 X4	 X
100	 CODA	 X6	 X
100	 CODA	 XC	 X
100	 CONA	 X4	 X
100	 CONA	 X6	 X
100	 CONA	 XC	 X
100	 HKGA	 X4	 X
100	 HKGA	 X6	 X
100	 HKGA	 XC	 X
100	 MRUA	 X4	 X
100	 MRUA	 X6	 X
100	 MRUA	 XC	 X
100	 POLA	 X4	 X
100	 POLA	 X6	 X
100	 POLA	 XC	 X
100	 SHTA	 X4	 X
100	 SHTA	 X6	 X
100	 SHTA	 XC	 X
100	 XRAA	 X4	 X
100	 XRAA	 X6	 X
100	 XRAA	 XC	 X
