AM: Consignee Code texts


MANDT	 SPRAS	 BUKRS	 ZZCON	 DESCR
X	 X	 X	 X	
MANDT-CLNT(3)	 SPRAS-LANG(1)	 BUKRS-CHAR(4)	 ZZCON-CHAR(2)	 TEXT30-CHAR(30)
100	 F	 ADEA	 2	 Innight
100	 F	 ADEA	 3	 TNT Parcel
100	 F	 ADEA	 9	 Special Instructions
100	 F	 AFRA	 2	 Innight
100	 F	 AFRA	 3	 TNT Parcel
100	 F	 AFRA	 6	 TNT Parcel
100	 F	 AFRA	 9	 Special Instructions
100	 F	 CHAA	 9	 Special Instructions
100	 F	 CODA	 9	 Innight
100	 F	 CPRA	 9	 Special Instructions
100	 F	 GBAA	 1	 TNT Truck
100	 F	 GBAA	 2	 London Service
100	 F	 GBAA	 3	 TNT Parcel
100	 F	 HKGA	 9	 Innight
100	 F	 HKKA	 9	 Innight
100	 F	 NNAA	 1	 Innight
100	 F	 NNAA	 2	 Innight
100	 F	 POLA	 9	 Innight
100	 F	 SSCA	 9	 Innight
100	 I	 ADEA	 2	 Innight
100	 I	 ADEA	 3	 TNT Parcel
100	 I	 ADEA	 9	 Special Instructions
100	 I	 AFRA	 2	 Innight
100	 I	 AFRA	 3	 TNT Parcel
100	 I	 AFRA	 6	 TNT Parcel
100	 I	 AFRA	 9	 Special Instructions
100	 I	 CHAA	 9	 Special Instructions
100	 I	 CODA	 9	 Innight
100	 I	 CPRA	 9	 Special Instructions
100	 I	 GBAA	 1	 TNT Truck
100	 I	 GBAA	 2	 London Service
100	 I	 GBAA	 3	 TNT Parcel
100	 I	 HKGA	 9	 Innight
100	 I	 HKKA	 9	 Innight
100	 I	 NNAA	 1	 Innight
100	 I	 NNAA	 2	 Innight
100	 I	 POLA	 9	 Innight
100	 I	 SSCA	 9	 Innight
100	 L	 ADEA	 2	 Innight
100	 L	 ADEA	 3	 TNT Parcel
100	 L	 ADEA	 9	 Special Instructions
100	 L	 AFRA	 2	 TNT Express Belgium
100	 L	 AFRA	 3	 FRET INDUSTRIE
100	 L	 AFRA	 4	 GALLIKER (Livraisons directes)
100	 L	 AFRA	 6	 FRET INDUSTRIE
100	 L	 AFRA	 9	 SPECIAL INSTRUCTIONS
100	 L	 BGAA	 1	 AFHALING AIRPOWER
100	 L	 BGAA	 2	 TNT EXPRESS BELGIUM
100	 L	 BGAA	 3	 TNT EXPRESS BELGIUM
100	 L	 BGAA	 4	 TRUCK
100	 L	 BGAA	 5	 TNT - INNIGHT
100	 L	 BGAA	 9	 WAITING FOR SHIP INSTRUCTIONS
100	 L	 CHAA	 1	 AFHALING AIRPOWER
100	 L	 CHAA	 2	 TNT EXPRESS BELGIUM
100	 L	 CHAA	 4	 TRUCK
100	 L	 CHAA	 5	 TNT - INNIGHT
100	 L	 CHAA	 9	 SPECIAL INSTRUCTIONS
100	 L	 CJAL	 9	 "SPECIAL INSTRUCTIONS"
100	 L	 CODA	 9	 TNT Norge AS
100	 L	 CONA	 9	 "SPECIAL INSTRUCTIONS"
100	 L	 CPRA	 1	 Air Freight
100	 L	 CPRA	 4	 DHL-Danzas-AFG
100	 L	 CPRA	 9	 SPECIAL INSTRUCTIONS
100	 L	 CQCA	 9	 "SPECIAL INSTRUCTIONS"
100	 L	 CQZA	 9	 "SPECIAL INSTRUCTIONS"
100	 L	 GBAA	 1	 TNT Truck
100	 L	 GBAA	 2	 London Service
100	 L	 GBAA	 3	 TNT Parcel
100	 L	 HKGA	 9	 DHL Express Norge AS
100	 L	 HKKA	 9	 DHL Express Norge AS
100	 L	 IYAA	 2	 AC Italia
100	 L	 IYAA	 4	 AC Italia / Sioli Fontana
100	 L	 IYAA	 6	 Bartolini
100	 L	 NLAA	 1	 TNT - EXPRESS - SERVICE
100	 L	 NLAA	 2	 TNT - INNIGHT
100	 L	 NLAA	 3	 SPEEDCOLLI
100	 L	 NLAA	 9	 Special Instructions
100	 L	 NNAA	 1	 TNT Norge AS
100	 L	 NNAA	 2	 DHL Express Norge AS
100	 L	 NNAA	 9	 "SPECIAL INSTRUCTIONS"
100	 L	 POLA	 9	 TNT Norge AS
100	 L	 SHTA	 9	 "SPECIAL INSTRUCTIONS"
100	 L	 SSCA	 9	 TNT Norge AS
100	 N	 ADEA	 2	 Innight
100	 N	 ADEA	 3	 TNT Parcel
100	 N	 ADEA	 9	 Special Instructions
100	 N	 AFRA	 2	 TNT Express Belgium
100	 N	 AFRA	 3	 FRET INDUSTRIE
100	 N	 AFRA	 4	 GALLIKER (Livraisons directes)
100	 N	 AFRA	 6	 FRET INDUSTRIE
100	 N	 AFRA	 9	 SPECIAL INSTRUCTIONS
100	 N	 CHAA	 9	 SPECIAL INSTRUCTIONS
100	 N	 CODA	 9	 TNT Express Belgium
100	 N	 CPRA	 9	 SPECIAL INSTRUCTIONS
100	 N	 GBAA	 1	 TNT Truck
100	 N	 GBAA	 2	 London Service
100	 N	 GBAA	 3	 TNT Parcel
100	 N	 HKGA	 9	 TNT Express Belgium
100	 N	 HKKA	 9	 TNT Express Belgium
100	 N	 IYAA	 2	 AC Italia
100	 N	 IYAA	 4	 AC Italia / Sioli Fontana
100	 N	 IYAA	 6	 Bartolini
100	 N	 NLAA	 1	 DHL
100	 N	 NNAA	 1	 TNT Express Belgium
100	 N	 NNAA	 2	 TNT Express Belgium
100	 N	 POLA	 9	 TNT Express Belgium
100	 N	 SSCA	 9	 TNT Express Belgium
100	 R	 ADEA	 2	 Innight
100	 R	 ADEA	 3	 TNT Parcel
100	 R	 ADEA	 9	 Special Instructions
100	 R	 AFRA	 2	 TNT Express Belgium
100	 R	 AFRA	 3	 FRET INDUSTRIE
100	 R	 AFRA	 4	 GALLIKER (Livraisons directes)
100	 R	 AFRA	 6	 TNT SOA
100	 R	 AFRA	 9	 SPECIAL INSTRUCTIONS
100	 R	 BGAA	 1	 AFHALING AIRPOWER
100	 R	 BGAA	 2	 TNT EXPRESS BELGIUM
100	 R	 BGAA	 3	 TNT EXPRESS BELGIUM
100	 R	 BGAA	 4	 TRUCK
100	 R	 BGAA	 5	 TNT - INNIGHT
100	 R	 BGAA	 9	 WAITING FOR SHIP INSTRUCTIONS
100	 R	 CHAA	 1	 Galliker Truck Transport
100	 R	 CHAA	 2	 TNT EXPRESS BELGIUM
100	 R	 CHAA	 4	 TRUCK
100	 R	 CHAA	 5	 TNT - INNIGHT
100	 R	 CHAA	 9	 SPECIAL INSTRUCTIONS
100	 R	 CJAL	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 CODA	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 CONA	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 CPRA	 1	 Air Freight
100	 R	 CPRA	 4	 DHL-Danzas-AFG
100	 R	 CPRA	 9	 SPECIAL INSTRUCTIONS
100	 R	 CQCA	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 CQZA	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 ESAA	 2	 TNT Parcel
100	 R	 ESAA	 5	 CAT-Truck
100	 R	 ESAA	 9	 Special Instructions
100	 R	 GBAA	 1	 TNT Truck
100	 R	 GBAA	 2	 London Service
100	 R	 GBAA	 3	 TNT Parcel
100	 R	 HKGA	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 HKKA	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 IYAA	 2	 AC Italia
100	 R	 IYAA	 4	 AC Italia / Sioli Fontana
100	 R	 IYAA	 6	 Bartolini
100	 R	 NLAA	 1	 TNT - EXPRESS - SERVICE
100	 R	 NLAA	 2	 TNT - INNIGHT
100	 R	 NLAA	 3	 SPEEDCOLLI
100	 R	 NLAA	 9	 Special Instructions
100	 R	 NNAA	 1	 TNT Norge AS
100	 R	 NNAA	 2	 DHL Express Norge AS
100	 R	 NNAA	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 POLA	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 SHTA	 9	 "SPECIAL INSTRUCTIONS"
100	 R	 SSCA	 9	 "SPECIAL INSTRUCTIONS"
100	 S	 ADEA	 2	 Innight
100	 S	 ADEA	 3	 TNT Parcel
100	 S	 ADEA	 9	 Special Instructions
100	 S	 AFRA	 2	 Innight
100	 S	 AFRA	 3	 TNT Parcel
100	 S	 AFRA	 6	 TNT Parcel
100	 S	 AFRA	 9	 Special Instructions
100	 S	 CHAA	 9	 Special Instructions
100	 S	 CODA	 9	 Innight
100	 S	 CPRA	 9	 Special Instructions
100	 S	 GBAA	 1	 TNT Truck
