AM : Number of Days to go back for notifications (YAM_LOOK)


MANDT	 BUKRS	 NRDAYS
X	 X	
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 INT4-INT4(10)
100	 ADEA	 365
100	 AFRA	 365
100	 BGAA	 365
100	 CHAA	 999
100	 CJAL	 1000
100	 CODA	 1000
100	 CONA	 1000
100	 CPRA	 365
100	 CQCA	 1000
100	 CQZA	 1000
100	 ESAA	 365
100	 GBAA	 365
100	 HKGA	 1000
100	 HKKA	 1000
100	 IYAA	 365
100	 NLAA	 365
100	 NNAA	 365
100	 POLA	 1000
100	 SHTA	 1000
100	 SSCA	 1000
