SEEF FICO asset depreciation offset account conversion


MANDT	 AFABE	 BWASL	 ANLKL	 OFFSET_OLD	 COUNTER	 OFFSET_NEW
X	 X	 X	 X	 X	 X	
MANDT-CLNT(3)	 AFABE-NUMC(2)	 BWASL-CHAR(3)	 ANLKL-CHAR(8)	 SAKNR-CHAR(10)	 YSECOUNT-NUMC(1)	 SAKNR-CHAR(10)
100	 31	 Y02	 00001261	 0009536901	 0	 0009507901
100	 31	 Y02	 00001261	 0009636901	 0	 0009507901
100	 31	 Y02	 00001271	 0009510901	 0	 0009610901
100	 31	 Y02	 00001271	 0009510901	 1	 0009637901
100	 31	 Y02	 00001271	 0009537901	 0	 0009510901
100	 31	 Y02	 00001271	 0009610901	 0	 0009510901
100	 31	 Y02	 00001290	 0009506901	 0	 0009639901
100	 31	 Y02	 00001290	 0009539901	 0	 0009506901
100	 31	 Y02	 00001290	 0009639901	 0	 0009506901
100	 31	 Y02	 01110904	 0009506901	 0	 0009621904
100	 31	 Y02	 01110904	 0009521904	 0	 0009506901
100	 31	 Y02	 01110904	 0009621904	 0	 0009506901
100	 31	 Y02	 01261902	 0009507901	 0	 0009636901
100	 31	 Y02	 01261902	 0009536901	 0	 0009507901
100	 31	 Y02	 01261902	 0009636901	 0	 0009507901
