AM: Speed delivery code


MANDT	 SPRAS	 BUKRS	 ZZSDC	 DESCR
100	 R	 NNAA	 EC	 Economy
100	 R	 NNAA	 EX	 Express
100	 S	 ADEA	 EC	 Economy
100	 S	 ADEA	 EX	 Express Delivery
100	 S	 ADEA	 TR	 Truck
100	 S	 AFRA	 EC	 Economy
100	 S	 AFRA	 EX	 Express Delivery
100	 S	 BGAA	 EC	 Economy
100	 S	 BGAA	 EX	 Express Delivery
100	 S	 CHAA	 EC	 Economy
100	 S	 CHAA	 EX	 Express Delivery
100	 S	 CPRA	 EC	 Economy
100	 S	 CPRA	 EX	 Express Delivery
100	 S	 ESAA	 EC	 Economy
100	 S	 ESAA	 EX	 Express Delivery
100	 S	 GBAA	 EC	 Economy
100	 S	 GBAA	 EX	 Express Delivery
100	 S	 GBAA	 TR	 Truck
100	 S	 IYAA	 EC	 Economy
100	 S	 NLAA	 EC	 Economy
100	 S	 NLAA	 EX	 Express Delivery
100	 S	 NNAA	 EC	 Economy
100	 S	 NNAA	 EX	 Express Delivery
100	 V	 ADEA	 EC	 Economy
100	 V	 ADEA	 EX	 Express Delivery
100	 V	 ADEA	 TR	 Truck
100	 V	 AFRA	 EC	 Economy
100	 V	 AFRA	 EX	 Express Delivery
100	 V	 BGAA	 EC	 Economy
100	 V	 BGAA	 EX	 Express Delivery
100	 V	 CHAA	 EC	 Economy
100	 V	 CHAA	 EX	 Express Delivery
100	 V	 CPRA	 EC	 Economy
100	 V	 CPRA	 EX	 Express Delivery
100	 V	 ESAA	 EC	 Economy
100	 V	 ESAA	 EX	 Express Delivery
100	 V	 GBAA	 EC	 Economy
100	 V	 GBAA	 EX	 Express Delivery
100	 V	 GBAA	 TR	 Truck
100	 V	 IYAA	 EC	 Economy
100	 V	 NLAA	 EC	 Economy
100	 V	 NLAA	 EX	 Express Delivery
100	 V	 NNAA	 EC	 Economy
100	 V	 NNAA	 EX	 Express Delivery
