Sales Org versus Division relation - CR1011


MANDT	 VKORG	 DIVISION
X	 X	 X
MANDT-CLNT(3)	 VKORG-CHAR(4)	 CHAR4-CHAR(4)
100	 ADEA	 CT
100	 AFRA	 CT
100	 BGAA	 CT
100	 CHAA	 CT
100	 CN01	 CT
100	 CPRA	 CT
100	 ESAA	 CT
100	 GBAA	 CT
100	 HK01	 CT
100	 IYAA	 CT
100	 NLAA	 CT
100	 NNAA	 CT
100	 PL01	 CT
100	 RU01	 CT
