Table for Profit center derivation on Class


MANDT	 SPART	 BRAN1	 CLASS
X	 X	 X	
MANDT-CLNT(3)	 SPART-CHAR(2)	 BRACO-CHAR(10)	 CHAR4-CHAR(4)
100	 01	 23811	 GIN
100	 01	 238110	 GIN
100	 01	 23812	 GIN
100	 01	 238120	 GIN
100	 01	 23813	 GIN
100	 01	 238130	 GIN
100	 01	 23814	 GIN
100	 01	 238140	 GIN
100	 01	 23815	 GIN
100	 01	 238150	 GIN
100	 01	 23816	 GIN
100	 01	 238160	 GIN
100	 01	 23817	 GIN
100	 01	 238170	 GIN
100	 01	 23819	 GIN
100	 01	 238190	 GIN
100	 01	 2382	 GIN
100	 01	 23821	 GIN
100	 01	 238210	 GIN
100	 01	 23822	 GIN
100	 01	 238220	 GIN
100	 01	 23829	 GIN
100	 01	 238290	 GIN
100	 01	 2383	 GIN
100	 01	 23831	 GIN
100	 01	 238310	 GIN
100	 01	 23832	 GIN
100	 01	 238320	 GIN
100	 01	 23833	 GIN
100	 01	 238330	 GIN
100	 01	 23834	 GIN
100	 01	 238340	 GIN
100	 01	 23835	 GIN
100	 01	 238350	 GIN
100	 01	 23839	 GIN
100	 01	 238390	 GIN
100	 01	 2389	 GIN
100	 01	 23891	 GIN
100	 01	 238910	 GIN
100	 01	 23899	 GIN
100	 01	 238990	 GIN
100	 01	 3111	 GIN
100	 01	 31111	 GIN
100	 01	 311111	 GIN
100	 01	 311119	 GIN
100	 01	 3112	 GIN
100	 01	 31121	 GIN
100	 01	 311211	 GIN
100	 01	 311212	 GIN
100	 01	 311213	 GIN
100	 01	 31122	 GIN
100	 01	 311221	 GIN
100	 01	 311222	 GIN
100	 01	 311223	 GIN
100	 01	 311224	 GIN
100	 01	 311225	 GIN
100	 01	 31123	 GIN
100	 01	 311230	 GIN
100	 01	 3113	 GIN
100	 01	 31131	 GIN
100	 01	 311311	 GIN
100	 01	 311312	 GIN
100	 01	 311313	 GIN
100	 01	 311314	 GIN
100	 01	 31132	 GIN
100	 01	 311320	 GIN
100	 01	 31133	 GIN
100	 01	 311330	 GIN
100	 01	 31134	 GIN
100	 01	 311340	 GIN
100	 01	 311351	 GIN
