Picjing List plants


MANDT	 WERKS
X	 X
MANDT-CLNT(3)	 WERKS-CHAR(4)
100	 RU01
100	 RU02
100	 RU03
100	 RU04
100	 RU05
100	 RU06
100	 RU07
100	 RU08
100	 RU09
100	 RU10
100	 RU11
100	 RU12
100	 RU13
100	 RU14
100	 RU15
100	 RU20
100	 RU21
100	 RU50
100	 RU51
100	 RU52
100	 RU53
100	 RU54
100	 RU55
100	 RU56
100	 RU57
100	 RU58
100	 RU59
100	 RU60
100	 RU61
100	 RU62
100	 RU63
100	 RU64
100	 RU70
100	 RU71
100	 RU72
100	 RU73
100	 RU74
100	 RU75
100	 RU90
