AM: Company code - summarization levels


MANDT	 BUKRS	 TRCATNR
X	 X	
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 RKE_TRLFD-NUMC(6)
100	 ADEA	 000002
100	 AFRA	 000004
100	 BGAA	 000008
100	 CHAA	 000010
100	 CJAL	 000017
100	 CODA	 000014
100	 CPRA	 000005
100	 ESAA	 000009
100	 GBAA	 000001
100	 HKGA	 000013
100	 IYAA	 000003
100	 MRUA	 000015
100	 NLAA	 000007
100	 NNAA	 000006
100	 POLA	 000011
100	 SHTA	 000012
