Table for profit centre derivation rules


MANDT	 PRCTR	 SEGMENT	 YVALFROM	 YVALTO
X	 X	 X	 X	
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 FB_SEGMENT-CHAR(10)	 TTE_DT_VALIDFR-DATS(8)	 DATS-DATS(8)
100	 0000000811	 CRS	 20120101	 99991231
100	 0000000813	 CRS	 20120101	 99991231
100	 0000000814	 0000002310	 20140101	 99991231
100	 0000000815	 UMR	 20120101	 99991231
100	 0000000820	 MRS	 20120101	 99991231
100	 0000000880	 0000002740	 20150101	 99991231
100	 0000000880	 CRS	 20120101	 20141231
100	 0000000881	 0000002740	 20150101	 99991231
100	 0000000881	 CRS	 20120101	 20141231
100	 0000000882	 CRS	 20120101	 99991231
100	 0000001310	 APW	 20160101	 99991231
100	 0000001311	 AW1	 20160101	 99991231
100	 0000001330	 APW	 20160101	 99991231
100	 0000001331	 AW1	 20160101	 99991231
100	 10A	 MRS	 20120101	 99991231
100	 10B	 MRS	 20120101	 99991231
100	 10D	 MRS	 20120101	 99991231
100	 10R	 MRS	 20120101	 99991231
100	 12C	 0000002310	 20140101	 99991231
100	 12R	 MRS	 20120101	 99991231
100	 12T	 MRS	 20120101	 99991231
100	 15C	 UMR	 20140101	 20170131
100	 15C	 URE	 20170201	 99991231
100	 15M	 0000002310	 20140101	 99991231
100	 15R	 0000002310	 20140101	 99991231
100	 16A	 MRS	 20120101	 99991231
100	 16C	 MRS	 20120101	 99991231
100	 16F	 MRS	 20120101	 99991231
100	 16J	 MRS	 20120101	 99991231
100	 17B	 MRS	 20120101	 99991231
100	 17F	 MRS	 20120101	 99991231
100	 17N	 MRS	 20120101	 99991231
100	 17S	 MRS	 20120101	 99991231
100	 18B	 MRS	 20120101	 99991231
100	 19B	 MRS	 20120101	 99991231
100	 19J	 MRS	 20120101	 99991231
100	 21E	 MRS	 20120101	 99991231
100	 21ED	 MRS	 20120101	 99991231
100	 21EP	 MRS	 20120101	 99991231
100	 21EW	 MRS	 20120101	 99991231
100	 24A	 MRS	 20120101	 99991231
100	 24T	 URE	 20170201	 99991231
100	 272R	 0000002740	 20150101	 99991231
100	 30A	 MRS	 20120101	 99991231
100	 30M	 MRS	 20120101	 99991231
100	 40A	 APE	 20170201	 99991231
100	 40A	 APW	 20160101	 20170131
100	 40M	 APE	 20170201	 99991231
100	 40M	 APW	 20160101	 20170131
100	 40O	 APW	 20160101	 99991231
100	 40S	 APW	 20160101	 99991231
100	 40U	 AW1	 20160101	 99991231
100	 40X	 0000001310	 20130101	 20151231
100	 40X	 APE	 20170201	 99991231
100	 40X	 APW	 20160101	 20170131
100	 41A	 APW	 20160101	 99991231
100	 41B	 APE	 20170201	 99991231
100	 41B	 APW	 20160101	 20170131
100	 41H	 APE	 20170201	 99991231
100	 41H	 APW	 20160101	 20170131
100	 41M	 0000001310	 20130101	 20151231
100	 41M	 APE	 20170201	 99991231
100	 41M	 APW	 20160101	 20170131
100	 41O	 APE	 20170201	 99991231
100	 41O	 APW	 20160101	 20170131
100	 41U	 AW1	 20160101	 99991231
100	 41X	 0000001310	 20130101	 20151231
100	 41X	 APE	 20170201	 99991231
100	 41X	 APW	 20160101	 20170131
100	 42A	 APE	 20170201	 99991231
100	 42A	 APW	 20160101	 20170131
100	 42B	 APE	 20170201	 99991231
100	 42B	 APW	 20160101	 20170131
100	 42C	 APE	 20170201	 99991231
100	 42C	 APW	 20160101	 20170131
100	 42G	 APE	 20170201	 99991231
100	 42G	 APW	 20160101	 20170131
100	 42H	 APE	 20170201	 99991231
100	 42H	 APW	 20160101	 20170131
100	 42I	 APE	 20170201	 99991231
100	 42I	 APW	 20160101	 20170131
100	 42J	 APE	 20170201	 99991231
