ACC: mapping transportation zone - data


MANDT	 VKORG	 VTWEG	 SPART	 ZVALUE_FIELD	 LZONE
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 ZVALUE_FIELD-CHAR(10)	 ZONE-CHAR(10)
100	 CN01	 01	 01	 0340	 CN00260004
100	 CN01	 01	 01	 0341	 CN00260006
100	 CN01	 01	 01	 0342	 CN00260008
100	 CN01	 01	 01	 0343	 CN00260006
100	 CN01	 01	 01	 0344	 CN00260006
100	 CN01	 01	 01	 0351	 CN00260006
100	 CN01	 01	 01	 0352	 CN00260006
100	 CN01	 01	 01	 0353	 CN00260006
100	 CN01	 01	 01	 0354	 CN00260006
100	 CN01	 01	 01	 0355	 CN00260006
100	 CN01	 01	 01	 0360	 CN00260004
100	 CN01	 01	 01	 0361	 CN00260005
100	 CN01	 01	 01	 0362	 CN00260005
100	 CN01	 01	 01	 0363	 CN00260007
100	 CN01	 01	 01	 0364	 CN00260005
100	 CN01	 01	 01	 0365	 CN00260005
100	 CN01	 01	 01	 0366	 CN00260005
100	 CN01	 01	 01	 0370	 CN00260003
100	 CN01	 01	 01	 0371	 CN00260005
100	 CN01	 01	 01	 0372	 CN00260005
100	 CN01	 01	 01	 0373	 CN00260005
100	 CN01	 01	 01	 0374	 CN00260005
100	 CN01	 01	 01	 0375	 CN00260005
100	 CN01	 01	 01	 0376	 CN00260005
100	 CN01	 01	 01	 0381	 CN00260007
100	 CN01	 01	 01	 0382	 CN00260007
100	 CN01	 01	 01	 0383	 CN00260004
100	 CN01	 01	 01	 0384	 CN00260006
100	 CN01	 01	 01	 0385	 CN00260006
100	 CN01	 01	 01	 0386	 CN00260006
100	 CN01	 01	 01	 0410	 CN00260003
100	 CN01	 01	 01	 0412	 CN00260007
100	 CN01	 01	 01	 0413	 CN00260005
100	 CN01	 01	 01	 0414	 CN00260005
100	 CN01	 01	 01	 0415	 CN00260005
100	 CN01	 01	 01	 0421	 CN00260005
100	 CN01	 01	 01	 0422	 CN00260005
100	 CN01	 01	 01	 0423	 CN00260007
100	 CN01	 01	 01	 0424	 CN00260005
100	 CN01	 01	 01	 0425	 CN00260005
100	 CN01	 01	 01	 0426	 CN00260005
100	 CN01	 01	 01	 0430	 CN00260003
100	 CN01	 01	 01	 0431	 CN00260005
100	 CN01	 01	 01	 0432	 CN00260005
100	 CN01	 01	 01	 0433	 CN00260005
100	 CN01	 01	 01	 0434	 CN00260005
100	 CN01	 01	 01	 0435	 CN00260005
100	 CN01	 01	 01	 0436	 CN00260005
100	 CN01	 01	 01	 0437	 CN00260005
100	 CN01	 01	 01	 0438	 CN00260005
100	 CN01	 01	 01	 0440	 CN00260003
100	 CN01	 01	 01	 0441	 CN00260005
100	 CN01	 01	 01	 0442	 CN00260006
100	 CN01	 01	 01	 0443	 CN00260005
100	 CN01	 01	 01	 0444	 CN00260005
100	 CN01	 01	 01	 0445	 CN00260005
100	 CN01	 01	 01	 0446	 CN00260005
100	 CN01	 01	 01	 0450	 CN00260004
100	 CN01	 01	 01	 0451	 CN00260006
100	 CN01	 01	 01	 0452	 CN00260005
100	 CN01	 01	 01	 0453	 CN00260006
100	 CN01	 01	 01	 0454	 CN00260006
100	 CN01	 01	 01	 0460	 CN00260003
100	 CN01	 01	 01	 0461	 CN00260005
100	 CN01	 01	 01	 0462	 CN00260005
100	 CN01	 01	 01	 0463	 CN00260005
100	 CN01	 01	 01	 0464	 CN00260005
100	 CN01	 01	 01	 0465	 CN00260005
100	 CN01	 01	 01	 0466	 CN00260005
100	 CN01	 01	 01	 0467	 CN00260006
100	 CN01	 01	 01	 0471	 CN00260005
100	 CN01	 01	 01	 0473	 CN00260005
100	 CN01	 01	 01	 0474	 CN00260005
100	 CN01	 01	 01	 0475	 CN00260005
100	 CN01	 01	 01	 0476	 CN00260005
100	 CN01	 01	 01	 0480	 CN00260005
100	 CN01	 01	 01	 0481	 CN00260007
100	 CN01	 01	 01	 0482	 CN00260007
100	 CN01	 01	 01	 0483	 CN00260007
100	 CN01	 01	 01	 0484	 CN00260005
100	 CN01	 01	 01	 0500	 CN00120001
100	 CN01	 01	 01	 0501	 CN00120005
100	 CN01	 01	 01	 0502	 CN00120005
100	 CN01	 01	 01	 0503	 CN00120005
100	 CN01	 01	 01	 0504	 CN00120003
100	 CN01	 01	 01	 0505	 CN00120003
100	 CN01	 01	 01	 0506	 CN00120005
100	 CN01	 01	 01	 0507	 CN00120005
100	 CN01	 01	 01	 0508	 CN00120003
100	 CN01	 01	 01	 0511	 CN00120005
100	 CN01	 01	 01	 0512	 CN00120005
100	 CN01	 01	 01	 0513	 CN00120005
100	 CN01	 01	 01	 0514	 CN00120003
