SAP@CC Vendor warranty report copa record type selection


MANDT	 BUKRS	 VRGAR
X	 X	
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 VRGAR-CHAR(1)
100	 ADEA	 0
100	 AFRA	 0
100	 BGAA	 0
100	 CHAA	 0
100	 CODA	 C
100	 CPRA	 0
100	 ESAA	 0
100	 GBAA	 0
100	 HKGA	 C
100	 IYAA	 0
100	 MRUA	 C
100	 NLAA	 0
100	 NNAA	 0
100	 POLA	 C
100	 SHTA	 C
