SEED Service product selection CT


MANDT	 GAC	 PGC	 MATKL	 EQUIPID	 MATNR
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 RKEG_WW006-CHAR(4)	 RKEG_WW007-CHAR(4)	 MATKL-CHAR(9)	 CHAR01-CHAR(1)	 MATNR-CHAR(18)
100	 46V	 *	 043ZSR	 	 000000010000369770
100	 47	 *	 042ZOH	 	 000000010000455952
100	 47N	 *	 042ZAN	 	 000000010000451466
100	 47N	 *	 042ZFP	 	 000000010000369772
100	 47N	 *	 042ZOH	 	 000000010000455952
100	 47N	 *	 043ZIS03	 	 000000010000404046
100	 47N	 *	 043ZIS04	 	 000000010000404047
100	 47N	 *	 043ZSR	 	 000000010000369773
100	 47V	 *	 042ZAN	 	 000000010000451466
100	 47V	 *	 042ZFP	 	 000000010000369772
100	 47V	 *	 042ZOH	 	 000000010000455952
100	 47V	 *	 043ZIS03	 	 000000010000404046
100	 47V	 *	 043ZIS04	 	 000000010000404047
100	 47V	 *	 043ZSR	 	 000000010000369773
100	 47W	 *	 042ZAN	 	 000000010000451466
100	 47W	 *	 042ZFP	 	 000000010000369772
100	 47W	 *	 042ZOH	 	 000000010000455952
100	 47W	 *	 043ZIS03	 	 000000010000404046
100	 47W	 *	 043ZIS04	 	 000000010000404047
100	 47W	 *	 043ZSR	 	 000000010000369773
100	 480	 *	 042ZAN	 	 000000010000451466
100	 480	 *	 042ZFP	 	 000000010000369757
100	 480	 *	 042ZOH	 	 000000010000455953
100	 480	 *	 043ZIS03	 	 000000010000404046
100	 480	 *	 043ZIS04	 	 000000010000404047
100	 480	 *	 043ZSR	 	 000000010000369758
100	 480	 484	 042ZER	 	 000000010000453761
100	 483	 *	 042ZAN	 	 000000010000451466
100	 483	 *	 042ZFP	 	 000000010000437209
100	 483	 *	 043ZIS03	 	 000000010000404046
100	 483	 *	 043ZIS04	 	 000000010000404047
100	 483	 *	 043ZSR	 	 000000010000437210
100	 485	 *	 042ZAN	 	 000000010000451466
100	 485	 *	 042ZFP	 	 000000010000369757
100	 485	 *	 042ZOH	 	 000000010000455953
100	 485	 *	 043ZIS03	 	 000000010000404046
100	 485	 *	 043ZIS04	 	 000000010000404047
100	 485	 *	 043ZSR	 	 000000010000369758
100	 485	 485	 042ZER	 	 000000010000453766
100	 48E	 *	 042ZAN	 	 000000010000451466
100	 48E	 *	 042ZFP	 	 000000010000369757
100	 48E	 *	 042ZOH	 	 000000010000455953
100	 48E	 *	 043ZIS03	 	 000000010000404046
100	 48E	 *	 043ZIS04	 	 000000010000404047
100	 48E	 *	 043ZSR	 	 000000010000369758
100	 48E	 48E	 042ZER	 	 000000010000453772
100	 48G	 *	 042ZAN	 	 000000010000451466
100	 48G	 *	 042ZFP	 	 000000010000437209
100	 48G	 *	 043ZIS03	 	 000000010000404046
100	 48G	 *	 043ZIS04	 	 000000010000404047
100	 48G	 *	 043ZSR	 	 000000010000437210
100	 48J	 *	 042ZAN	 	 000000010000451466
100	 48J	 *	 042ZFP	 	 000000010000437209
100	 48J	 *	 043ZIS03	 	 000000010000404046
100	 48J	 *	 043ZIS04	 	 000000010000404047
100	 48J	 *	 043ZSR	 	 000000010000437210
100	 48K	 *	 042ZAN	 	 000000010000451466
100	 48K	 *	 042ZFP	 	 000000010000437209
100	 48K	 *	 043ZIS03	 	 000000010000404046
100	 48K	 *	 043ZIS04	 	 000000010000404047
100	 48K	 *	 043ZSR	 	 000000010000437210
100	 48V	 *	 042ZAN	 	 000000010000451466
100	 48V	 *	 042ZFP	 	 000000010000369757
100	 48V	 *	 042ZOH	 	 000000010000455953
100	 48V	 *	 043ZIS03	 	 000000010000404046
100	 48V	 *	 043ZIS04	 	 000000010000404047
100	 48V	 *	 043ZSR	 	 000000010000369758
100	 48V	 48D	 042ZER	 	 000000010000453768
100	 48W	 *	 042ZAN	 	 000000010000451466
100	 48W	 *	 042ZFP	 	 000000010000369757
100	 48W	 *	 042ZOH	 	 000000010000455953
100	 48W	 *	 043ZIS03	 	 000000010000404046
100	 48W	 *	 043ZIS04	 	 000000010000404047
100	 48W	 *	 043ZSR	 	 000000010000369758
100	 48W	 48S	 042ZER	 	 000000010000453769
100	 48X	 *	 042ZAN	 	 000000010000451466
100	 48X	 *	 042ZFP	 	 000000010000369757
100	 48X	 *	 042ZOH	 	 000000010000455953
100	 48X	 *	 043ZIS03	 	 000000010000404046
100	 48X	 *	 043ZIS04	 	 000000010000404047
100	 48X	 *	 043ZSR	 	 000000010000369758
100	 48X	 48Q	 042ZER	 	 000000010000453762
100	 4PS	 *	 042ZAN	 	 000000010000451466
