Seed : Creation / Maintenance of Materials via POPIC


MANDT	 ACTION	 USERNAME	 MATNR_POPIC	 ZDCFAM	 ZCCFAM	 ERDAT	 RPERR	 ZGSBER	 SPART	 RPDESC	 LOCDES	 LANGU	 BUOM	 MATKL	 RPPGC	 PRODH	 RPNWIG	 GEWEI	 RPSAFL	 RPORIG	 RPRG	 RPCUSC	 VENDOR	 PLIFZ	 BESTM	 SACCODE	 RPIP	 RPIPCURR	 TRPRICE	 TPCURR	 STPRS	 RPCURR	 MLPRICE	 MLCURR	 OVERWRITE	 ZGEWEI	 ZLAND	 EVERS
X	 X	 X	 X	 X	 X	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
MANDT-CLNT(3)	 ZACTION-CHAR(4)	 XUSER-CHAR(12)	 CHAR15-CHAR(15)	 ZDCFAM-CHAR(3)	 ZCCFAM-CHAR(3)	 DATUM-DATS(8)	 CHAR3-CHAR(3)	 ZGSBER-CHAR(3)	 SPART-CHAR(2)	 CHAR30-CHAR(30)	 CHAR30-CHAR(30)	 SPRAS-LANG(1)	 MEINS-UNIT(3)	 MATKL-CHAR(9)	 RKEG_WW007-CHAR(4)	 PRODH-CHAR(18)	 ZRPNWIG-DEC(9)	 MEINS-UNIT(3)	 ZRPSAFL-CHAR(1)	 LAND1-CHAR(3)	 MVGR2-CHAR(3)	 STAWN-CHAR(17)	 LIFNR-CHAR(10)	 DEC3-DEC(3)	 MENG13-QUAN(13)	 ZSAC-CHAR(1)	 WERT11-CURR(11)	 WAERS-CUKY(5)	 WERT11-CURR(11)	 WAERS-CUKY(5)	 WERT11V-CURR(11)	 WAERS-CUKY(5)	 WERT11-CURR(11)	 WAERS-CUKY(5)	 KREUZ-CHAR(1)	 MEINS-UNIT(3)	 LAND1-CHAR(3)	 EVERS-CHAR(2)
100	 	 SSARSG	 D299010012	 XBA	 XRA	 20170502	 	 CR	 41	 WEARPART KIT	 К-кт поддеж.пластин транс	 R	 ST	 02	 0VY	 880 0VY	 13000.0 	 G	 	 RU	 	 	 102000406	 21 	 1.000 	 	 1.00 	 RUB	 158.41 	 EUR	 1.00 	 RUB	 35421.00 	 RUB	 	 	 	
100	 	 SSARSG	 D299010013	 XBA	 XRA	 20170502	 	 CR	 41	 WEARPART KIT AUGER	 Ремкомплект опоры шнека	 R	 ST	 02	 0VY	 880 0VY	 2401.0 	 G	 	 BE	 	 	 102000406	 21 	 1.000 	 	 1.00 	 RUB	 253.72 	 EUR	 1.00 	 RUB	 28243.00 	 RUB	 	 	 	
100	 	 SSARSG	 D977381831	 XBA	 XRA	 20170524	 	 CR	 41	 CABLE	 Кабель	 R	 ST	 02	 0VC	 880 0VC	 100.0 	 G	 	 BE	 	 	 0102000932	 21 	 1.000 	 	 1.00 	 RUB	 19.38 	 EUR	 1.00 	 RUB	 2953.00 	 RUB	 	 	 	
100	 PULL	 	 4	 ARP	 CQC	 20131017	 	 CT	 01	 TEST 131017	 	 E	 ST	 041C20000	 17A	 17A 17A	 0.0 	 ST	 	 CN	 6O	 	 0102000000	 70 	 0.000 	 1	 100.00 	 CNY	 88.00 	 CNY	 990.00 	 CNY	 77.00 	 CNY	 	 ST	 	
100	 PULL	 	 4700162011	 RCE	 SHT	 00000000	 	 CR	 41	 WASHER SEALING	 GASKET垫圈	 1	 ST	 02	 YVM	 88Y YVM	 5.0 	 G	 	 	 	 	 0102000025	 0 	 1.000 	 	 1.00 	 	 0.89 	 EUR	 8.04 	 CNY	 24.84 	 CNY	 	 	 	
100	 PULL	 	 4812269090	 RCE	 SHT	 00000000	 	 CR	 41	 SD2500CS随机配件 2013	 SD2500CS随机配件 2013	 1	 ST	 02	 UVY	 880 UVY	 0.0 	 G	 	 	 	 	 0102000025	 0 	 1.000 	 	 0.00 	 	 10.00 	 	 16892.68 	 CNY	 33000.00 	 CNY	 	 	 	
100	 PULL	 	 4812269724	 CNK	 MRU	 00000000	 	 CMT	 41	 CC900G 1000小时保养包2013	 CC900G 1000小时保养包2013	 1	 ST	 02	 7502	 81P 7502	 0.0 	 G	 	 	 	 	 0102000015	 0 	 1.000 	 	 1.00 	 	 2.00 	 	 2362.65 	 CNY	 5950.00 	 CNY	 	 	 	
100	 PULL	 	 6	 ARP	 CQC	 20131017	 	 CT	 01	 TEST 131017	 	 E	 ST	 041C20000	 17A	 17A 17A	 0.0 	 ST	 	 CN	 6O	 	 0102000000	 70 	 0.000 	 1	 100.00 	 CNY	 88.00 	 CNY	 990.00 	 CNY	 77.00 	 CNY	 	 ST	 	
100	 PULL	 EXTLYG	 6	 ARP	 CQC	 20131017	 	 CT	 01	 TEST 131017	 	 E	 ST	 041C20000	 17A	 17A 17A	 0.0 	 ST	 	 CN	 6O	 	 0102000000	 70 	 0.000 	 1	 100.00 	 CNY	 88.00 	 CNY	 990.00 	 CNY	 77.00 	 CNY	 	 ST	 	
100	 PULL	 EXTLYG	 TEST1018	 ARP	 CQC	 20131018	 	 CT	 01	 HOSE	 HOSE	 1	 ST	 02	 YVV	 88Y YVV	 0.0 	 KG	 	 CN	 	 	 0102000000	 14 	 1.000 	 	 20.00 	 CNY	 44.88 	 CNY	 44.88 	 CNY	 5.94 	 EUR	 	 	 	
100	 PULL	 EXTLYG	 TEST1020	 ARP	 SHT	 20131018	 	 CT	 01	 HOSE	 HOSE	 1	 ST	 02	 YVV	 88Y YVV	 0.0 	 KG	 	 CN	 	 	 0102000000	 14 	 1.000 	 	 0.00 	 CNY	 1.10 	 CNY	 1.10 	 CNY	 11.00 	 EUR	 	 	 	
