SEED Data upload STOCK


MANDT	 OLD_PRODH	 NEW_PRODH	 NEW_PRCTR
X	 X	 	
MANDT-CLNT(3)	 PRODH-CHAR(18)	 PRODH-CHAR(18)	 PRCTR-CHAR(10)
100	 82M 8242	 8FEAFEAA	 0000001610
100	 82W 82W4	 8FPMFPMA	 0000001610
100	 82W 82W5	 8FGMFGMA	 0000001610
100	 82W 82W6	 8FQMFQMA	 0000001610
100	 82W 82W7	 8FSMFSMA	 0000001610
100	 82X 82X0	 8SXMSXMA	 0000001610
100	 82X 82X1	 8SXMSXMA	 0000001610
100	 82X 82X2	 8SXMSXMA	 0000001610
100	 82Z 8248	 8FZAFZAA	 0000001610
100	 82Z 8251	 8FIAFIAA	 0000001610
100	 82Z 8257	 8FTAFTAA	 0000001610
100	 82Z 8258	 8FDAFDAA	 0000001610
100	 84C 8420	 8NNANNAA	 0000001610
100	 84C 8421	 8ENAENAA	 0000001610
100	 84C 8422	 8NNANNAB	 0000001610
100	 84C 8423	 8ONAONAA	 0000001610
100	 84C 8424	 8ANAANAA	 0000001610
100	 84C 8425	 8CNACNAA	 0000001610
100	 84C 8426	 8NNQNNQA	 0000001610
100	 84C 8427	 8CNACNAB	 0000001610
100	 84C 8428	 8CNACNAC	 0000001610
100	 84C 8429	 8NNANNAC	 0000001610
100	 84G 8440	 50A 506	 0000001510
100	 84G 8441	 50A 506	 0000001510
100	 84M 8430	 8NUANUAA	 0000001610
100	 84M 8431	 8EUAEUAA	 0000001610
100	 84M 8432	 8CUACUAA	 0000001610
100	 84M 8436	 8NUQNUQA	 0000001610
100	 84P 84P	 8AOAAOAA	 0000001610
100	 84R 84R	 8COACOAA	 0000001610
100	 84T 84T	 8OOAOOAA	 0000001610
100	 84W 84W0	 8NNMNNMA	 0000001610
100	 84W 84W1	 8NNMNNMA	 0000001610
100	 84W 84W2	 8NNMNNMA	 0000001610
100	 84W 84W3	 8NNMNNMA	 0000001610
100	 84W 84W4	 8NNMNNMA	 0000001610
100	 84W 84W5	 8NNMNNMA	 0000001610
100	 84W 84W6	 8NNMNNMA	 0000001610
100	 84W 84W7	 8NNMNNMA	 0000001610
100	 84W 84W8	 8NNMNNMA	 0000001610
100	 84W 84W9	 8NNMNNMA	 0000001610
100	 84X 84X0	 8NUANUAA	 0000001610
100	 84X 84X1	 8EUAEUAA	 0000001610
100	 84X 84X6	 8NUQNUQA	 0000001610
100	 84Y 84Y	 8YOAYOAA	 0000001610
100	 84Z 8410	 8NOANOAB	 0000001610
100	 84Z 8411	 8NOANOAC	 0000001610
100	 84Z 8416	 8NOQNOQA	 0000001610
100	 85C 8544	 8SPASPAA	 0000001610
100	 85C 8545	 8SGASGAA	 0000001610
100	 85C 8546	 8SQASQAA	 0000001610
100	 85C 8547	 8SSASSAA	 0000001610
100	 85H 8154	 8PHAPHAA	 0000001610
100	 85H 8254	 8FHAFHAA	 0000001610
100	 85H 8554	 8SHASHAA	 0000001610
100	 85M 8540	 8SXASXAA	 0000001610
100	 85M 8541	 8SXASXAA	 0000001610
100	 85M 8542	 8SEASEAA	 0000001610
100	 85S 85S	 8SHMSHMA	 0000001610
100	 85T 85T	 8SCGSCGA	 0000001610
100	 85U 85U	 8SCISCIA	 0000001610
100	 85V 85V	 8SIMSIMA	 0000001610
100	 85W 85W4	 8SPMSPMA	 0000001610
100	 85W 85W5	 8SGMSGMA	 0000001610
100	 85W 85W6	 8SQMSQMA	 0000001610
100	 85W 85W7	 8SSMSSMA	 0000001610
100	 85X 85X0	 8SXMSXMA	 0000001610
100	 85X 85X1	 8SXMSXMA	 0000001610
100	 85X 85X2	 8SXMSXMA	 0000001610
100	 85Z 8548	 8SZASZAA	 0000001610
100	 85Z 8551	 8SIASIAA	 0000001610
100	 85Z 8557	 8STASTAA	 0000001610
100	 85Z 8558	 8SDASDAA	 0000001610
100	 8ANAANAA	 8ANAANAA	 0000001610
100	 8AOAAOAA	 8AOAAOAA	 0000001610
100	 8CNACNAA	 8CNACNAA	 0000001610
100	 8CNACNAB	 8CNACNAB	 0000001610
100	 8CNACNAC	 8CNACNAC	 0000001610
100	 8COACOAA	 8COACOAA	 0000001610
100	 8CUACUAA	 8CUACUAA	 0000001610
100	 8ENAENAA	 8ENAENAA	 0000001610
100	 8EOAEOAA	 8EOAEOAA	 0000001610
100	 8EUAEUAA	 8EUAEUAA	 0000001610
100	 8FDAFDAA	 8FDAFDAA	 0000001610
100	 8FEAFEAA	 8FEAFEAA	 0000001610
100	 8FGAFGAA	 8FGAFGAA	 0000001610
100	 8FGMFGMA	 8FGMFGMA	 0000001610
100	 8FHAFHAA	 8FHAFHAA	 0000001610
100	 8FIAFIAA	 8FIAFIAA	 0000001610
100	 8FPAFPAA	 8FPAFPAA	 0000001610
100	 8FPMFPMA	 8FPMFPMA	 0000001610
100	 8FQAFQAA	 8FQAFQAA	 0000001610
100	 8FQMFQMA	 8FQMFQMA	 0000001610
100	 8FSAFSAA	 8FSAFSAA	 0000001610
100	 8FSMFSMA	 8FSMFSMA	 0000001610
100	 8FTAFTAA	 8FTAFTAA	 0000001610
100	 8FXAFXAA	 8FXAFXAA	 0000001610
100	 8FZAFZAA	 8FZAFZAA	 0000001610
100	 8NNANNAA	 8NNANNAA	 0000001610
100	 8NNANNAB	 8NNANNAB	 0000001610
100	 8NNANNAC	 8NNANNAC	 0000001610
100	 8NNMNNMA	 8NNMNNMA	 0000001610
100	 8NNQNNQA	 8NNQNNQA	 0000001610
100	 8NOANOAA	 8NOANOAA	 0000001610
100	 8NOANOAB	 8NOANOAB	 0000001610
100	 8NOANOAC	 8NOANOAC	 0000001610
100	 8NOQNOQA	 8NOQNOQA	 0000001610
100	 8NUANUAA	 8NUANUAA	 0000001610
100	 8NUQNUQA	 8NUQNUQA	 0000001610
100	 8ONAONAA	 8ONAONAA	 0000001610
100	 8OOAOOAA	 8OOAOOAA	 0000001610
100	 8PDAPDAA	 8PDAPDAA	 0000001610
100	 8PEAPEAA	 8PEAPEAA	 0000001610
100	 8PGAPGAA	 8PGAPGAA	 0000001610
100	 8PGMPGMA	 8PGMPGMA	 0000001610
100	 8PHAPHAA	 8PHAPHAA	 0000001610
100	 8PIAPIAA	 8PIAPIAA	 0000001610
100	 8PPAPPAA	 8PPAPPAA	 0000001610
100	 8PPMPPMA	 8PPMPPMA	 0000001610
100	 8PQAPQAA	 8PQAPQAA	 0000001610
100	 8PQMPQMA	 8PQMPQMA	 0000001610
100	 8PSAPSAA	 8PSAPSAA	 0000001610
100	 8PSMPSMA	 8PSMPSMA	 0000001610
100	 8PTAPTAA	 8PTAPTAA	 0000001610
100	 8PXAPXAA	 8PXAPXAA	 0000001610
100	 8PZAPZAA	 8PZAPZAA	 0000001610
100	 8SCGSCGA	 8SCGSCGA	 0000001610
100	 8SCISCIA	 8SCISCIA	 0000001610
100	 8SDASDAA	 8SDASDAA	 0000001610
100	 8SEASEAA	 8SEASEAA	 0000001610
100	 8SGASGAA	 8SGASGAA	 0000001610
100	 8SGMSGMA	 8SGMSGMA	 0000001610
100	 8SHASHAA	 8SHASHAA	 0000001610
100	 8SHMSHMA	 8SHMSHMA	 0000001610
100	 8SIASIAA	 8SIASIAA	 0000001610
100	 8SIMSIMA	 8SIMSIMA	 0000001610
100	 8SLASLAA	 8SLASLAA	 0000001610
100	 8SMASMAA	 8SMASMAA	 0000001610
100	 8SPASPAA	 8SPASPAA	 0000001610
100	 8SPMSPMA	 8SPMSPMA	 0000001610
100	 8SQASQAA	 8SQASQAA	 0000001610
100	 8SQMSQMA	 8SQMSQMA	 0000001610
100	 8SSASSAA	 8SSASSAA	 0000001610
100	 8SSMSSMA	 8SSMSSMA	 0000001610
100	 8STASTAA	 8STASTAA	 0000001610
100	 8SXASXAA	 8SXASXAA	 0000001610
100	 8SXMSXMA	 8SXMSXMA	 0000001610
100	 8SZASZAA	 8SZASZAA	 0000001610
100	 8YOAYOAA	 8YOAYOAA	 0000001610
