Table for profit centre derivation rules


MANDT	 PRCTR	 SEGMENT
X	 X	
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 FB_SEGMENT-CHAR(10)
100	 	
100	 0000000011	 URE
100	 0000000013	 URE
100	 0000000014	 URE
100	 0000000015	 0000002310
100	 0000000017	 0000002110
100	 0000000018	 0000002110
100	 0000000019	 0000002110
100	 0000000020	 UMR
100	 0000000022	 UMR
100	 0000000023	 MRS
100	 0000000024	 CTH
100	 0000000025	 0000002410
100	 0000000026	 0000002110
100	 0000000027	 CTH
100	 0000000029	 CRS
100	 0000000031	 0000002410
100	 0000000032	 URE
100	 0000000033	 UMR
100	 0000000034	 0000002410
100	 0000000035	 0000002310
100	 0000000036	 0000002310
100	 0000000037	 0000002310
100	 0000000038	 0000002310
100	 0000000040	 APE
100	 0000000041	 APE
100	 0000000042	 APE
100	 0000000043	 CRS
100	 0000000044	 0000001110
100	 0000000046	 0000001110
100	 0000000047	 0000001110
100	 0000000050	 GAS
100	 0000000051	 0000001210
100	 0000000052	 0000001610
100	 0000000053	 GAE
100	 0000000056	 GAE
100	 0000000057	 0000001210
100	 0000000058	 0000001210
100	 0000000060	 0000003100
100	 0000000061	 0000003100
100	 0000000062	 0000003100
100	 0000000063	 0000003100
100	 0000000064	 0000003100
100	 0000000065	 0000003100
100	 0000000066	 0000003100
100	 0000000067	 0000003100
100	 0000000068	 0000003100
100	 0000000069	 0000003100
100	 0000000070	 0000002110
100	 0000000071	 0000002110
100	 0000000072	 URE
100	 0000000073	 0000002310
100	 0000000074	 0000002310
100	 0000000076	 0000002110
100	 0000000077	 0000002110
100	 0000000079	 0000003100
100	 0000000086	 0000002410
100	 0000000088	 0000002410
100	 0000000101	 SED
100	 0000000102	 SED
100	 0000000103	 SED
100	 0000000104	 SED
100	 0000000105	 SED
100	 0000000106	 SED
100	 0000000107	 SED
100	 0000000108	 SED
100	 0000000109	 SED
100	 0000000110	 SED
100	 0000000111	 SED
100	 0000000112	 SED
100	 0000000113	 SED
100	 0000000114	 SED
100	 0000000115	 SED
100	 0000000116	 SED
100	 0000000117	 SED
