IW32	 SAPLCOIH	 3000	 I	 E	 IW	 461	 Error when calculating costs	 for order 004000000713.	 	 	 CTU	
Workflow ser ord	 134949	   1	 	 	 	 	 Order 4000000881 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 143611	   1	 	 	 	 	 Order 4000000680 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 144619	   1	 	 	 	 	 Order 4000000882 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 145422	   1	 	 	 	 	 Order 4000000883 is locked and cannot be changed	 	 	 	 	
test	 test	 	 	 	 	 	 	 	 	 	 	
equi crea idoc check	 141654	 	 	 	 	 	 TEST13	 	 	 	 	
equi crea idoc befor	 141655	 	 	 	 	 	 	 	 	 	 	
equi crea idoc	 141031	 	 	 	 	 	 000000000010003858000000000000000430	 	 	 	 	
equi crea idoc	 141028	 	 	 	 	 	 000000000010003815000000000000000387	 	 	 	 	
equi crea idoc	 141026	 	 	 	 	 	 000000000010003787000000000000000359	 	 	 	 	
equi crea idoc	 141029	 	 	 	 	 	 000000000010003827000000000000000399	 	 	 	 	
equi crea idoc	 141032	 	 	 	 	 	 000000000010003871000000000000000443	 	 	 	 	
equi crea idoc	 141033	 	 	 	 	 	 000000000010003885000000000000000457	 	 	 	 	
equi crea idoc	 141040	 	 	 	 	 	 000000000010003978000000000000000550	 	 	 	 	
equi crea idoc	 141036	 	 	 	 	 	 000000000010003926000000000000000498	 	 	 	 	
equi crea idoc	 141034	 	 	 	 	 	 000000000010003895000000000000000467	 	 	 	 	
equi crea idoc	 141035	 	 	 	 	 	 000000000010003910000000000000000482	 	 	 	 	
equi crea idoc	 141039	 	 	 	 	 	 000000000010003968000000000000000540	 	 	 	 	
equi crea idoc	 141043	 	 	 	 	 	 000000000010004006000000000000000578	 	 	 	 	
equi crea idoc	 141037	 	 	 	 	 	 000000000010003942000000000000000514	 	 	 	 	
equi crea idoc	 141038	 	 	 	 	 	 000000000010003956000000000000000528	 	 	 	 	
equi crea idoc	 141044	 	 	 	 	 	 000000000010004014000000000000000586	 	 	 	 	
equi crea idoc	 141046	 	 	 	 	 	 000000000010004022000000000000000594	 	 	 	 	
equi crea idoc	 141050	 	 	 	 	 	 000000000010004049000000000000000621	 	 	 	 	
equi crea idoc	 141041	 	 	 	 	 	 000000000010003992000000000000000564	 	 	 	 	
equi crea idoc	 141042	 	 	 	 	 	 000000000010004002000000000000000574	 	 	 	 	
equi crea idoc	 141058	 	 	 	 	 	 000000000010004116000000000000000688	 	 	 	 	
equi crea idoc	 141047	 	 	 	 	 	 000000000010004024000000000000000596	 	 	 	 	
equi crea idoc	 141048	 	 	 	 	 	 000000000010004028000000000000000600	 	 	 	 	
equi crea idoc	 141049	 	 	 	 	 	 000000000010004037000000000000000609	 	 	 	 	
equi crea idoc	 141053	 	 	 	 	 	 000000000010004073000000000000000645	 	 	 	 	
