[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_RM08RELEASE_F1E,N/A,36,21,15,42%,Include YRD_RM08RELEASE_F1E
YRD_RM08RELEASE_F1F,N/A,74,48,26,35%,Include YRD_RM08RELEASE_F1F
YRD_RM08RELEASE_F1G,N/A,102,68,34,33%,Include YRD_RM08RELEASE_F1G
YRD_RM08RELEASE_F1H,N/A,68,42,26,38%,Include YRD_RM08RELEASE_F1H
[Totle], ,"4,469","3,042","1,427",32%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_MM_MAT_MASS_CHANGE,N/A,75,30,45,60%,Material master data Mass Change for KITs
YRD_MM_MAT_MASS_CHANGE_FRM,N/A,496,369,127,26%,Include YRD_MM_MAT_MASS_CHANGE_FRM
YRD_MM_MAT_MASS_CHANGE_SCR,N/A,11,4,7,64%,Include YRD_MM_MAT_MASS_CHANGE_SCR
YRD_MM_MAT_MASS_CHANGE_TOP,N/A,51,41,10,20%,Include YRD_MM_MAT_MASS_CHANGE_TOP
[Totle], ,633,444,189,30%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_ALL_DEL_WO_RP,N/A,34,10,24,71%,All deletion Work Order Report
YRD_PP_ALL_DEL_FRM,N/A,114,72,42,37%,Include YRD_PP_ALL_DEL_FRM
YRD_PP_ALL_DEL_TOP,N/A,21,13,8,38%,Include YRD_PP_ALL_DEL_TOP
[Totle], ,169,95,74,44%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_ATP_SHORTAGE_RP,N/A,47,9,38,81%,ATP & Shortage Report
YRD_PP_ATP_SHORTAGE_RP_FRM,N/A,537,377,160,30%,Include YRD_PP_ATP_SHORTAGE_RP_FRM
YRD_PP_ATP_SHORTAGE_RP_SCR,N/A,13,3,10,77%,Include YRD_PP_ATP_SHORTAGE_RP_SCR
YRD_PP_ATP_SHORTAGE_RP_TOP,N/A,26,12,14,54%,Include YRD_PP_ATP_SHORTAGE_RP_TOP
[Totle], ,623,401,222,36%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_COPY_MD01,N/A,81,28,53,65%,YRD_PP_COPY_MD01
[Totle], ,81,28,53,65%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_KIT_LABEL_SF,N/A,133,61,72,54%,Kit Label Print
[Totle], ,133,61,72,54%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
